Task name,Assignee,Completed on,Due,Parent-task,Priority,Project,Status,Sub-tasks,Tags
All of rent and damage deposit is up,Alex,,"May 5, 2025",,,301-509 E11th Ave v  - Achieved low maintanence (301-509%20E11th%20Ave%20v%20-%20Achieved%20low%20maintanence%201ea7c51f810e80ada6a5d59dc9807b0e.md),Done,,
"Everything unpacked ",Alex,,"May 5, 2025",,,301-509 E11th Ave v  - Achieved low maintanence (301-509%20E11th%20Ave%20v%20-%20Achieved%20low%20maintanence%201ea7c51f810e80ada6a5d59dc9807b0e.md),Done,,
Gas signed over to me,Alex,,"May 5, 2025",,,301-509 E11th Ave v  - Achieved low maintanence (301-509%20E11th%20Ave%20v%20-%20Achieved%20low%20maintanence%201ea7c51f810e80ada6a5d59dc9807b0e.md),Done,,
Electricity signed over to me,Alex,,"May 5, 2025",,,301-509 E11th Ave v  - Achieved low maintanence (301-509%20E11th%20Ave%20v%20-%20Achieved%20low%20maintanence%201ea7c51f810e80ada6a5d59dc9807b0e.md),Done,,
Move everything over,Alex,,"May 4, 2025",,,301-509 E11th Ave v  - Achieved low maintanence (301-509%20E11th%20Ave%20v%20-%20Achieved%20low%20maintanence%201ea7c51f810e80ada6a5d59dc9807b0e.md),Done,,
Sign the Criminal Thing,Alex,,,,,301-509 E11th Ave v  - Achieved low maintanence (301-509%20E11th%20Ave%20v%20-%20Achieved%20low%20maintanence%201ea7c51f810e80ada6a5d59dc9807b0e.md),Done,,
Organise bathrooms,Alex,,,,,301-509 E11th Ave v  - Achieved low maintanence (301-509%20E11th%20Ave%20v%20-%20Achieved%20low%20maintanence%201ea7c51f810e80ada6a5d59dc9807b0e.md),Done,,
Account Info,Alex,,,,,301-509 E11th Ave v  - Achieved low maintanence (301-509%20E11th%20Ave%20v%20-%20Achieved%20low%20maintanence%201ea7c51f810e80ada6a5d59dc9807b0e.md),Done,,
Ikia Run,Alex,,"May 22, 2025",,,301-509 E11th Ave v  - Achieved low maintanence (301-509%20E11th%20Ave%20v%20-%20Achieved%20low%20maintanence%201ea7c51f810e80ada6a5d59dc9807b0e.md),Done,,
Cosco Run,Alex,,"May 22, 2025",,,301-509 E11th Ave v  - Achieved low maintanence (301-509%20E11th%20Ave%20v%20-%20Achieved%20low%20maintanence%201ea7c51f810e80ada6a5d59dc9807b0e.md),Done,,
