(Do Not Modify) Licence,(Do Not Modify) Modified On,(Do Not Modify) Row Checksum,Contact Email,Contact Phone Number,Establishment Address City,Establishment Address Postal Code,Establishment Address Street,Investigated / Applied Online,LG / IN,Licence Type,Licensee,Name,Notes,Website URL
ccc9f19f-4573-eb11-b81b-005056832755,"February 14, 2025 6:30 PM (PST)",YO9vaWbTKWl0VypfpWAQgI6b71yoxQxoPi+sseEgnuNVrmHim7TtMdkezdTQHsYj1/uebaUF9ZJodOwREqN0MA==,,,100 MILE HOUSE,V0K2E0,365 S CARIBOO HWY,No,100 Mile House,Liquor Primary,NIGHTS INN INC.,Jake?s Pub & Grill,,
cecdf19f-4573-eb11-b81b-005056832755,"March 6, 2025 11:35 PM (PST)",D+lgRPyqoRSHlXFEVS5qBd2ZxIIHDP1kxLy998rmUfy+kIe/ToB/LKWKD3qW9SkW5R3lBKpk2O9n7AqAlEvwTQ==,,,100 MILE HOUSE,V0K2E0,933 ALDER ST,No,100 Mile House,Liquor Primary Club,Royal Canadian Legion Branch 260,"ROYAL CANADIAN LEGION, BRANCH NO. 260 (037271)",,
56ccf19f-4573-eb11-b81b-005056832755,"January 30, 2025 8:34 PM (PST)",WDUau0zl+F0Hh2ZCenb5bDSenV/AhloUvkg2JbnaJD8maR/UHmthJpPI1qnii6zlstTXHDGSy6cL0peBqGQ6XA==,,,100 MILE HOUSE,V0K2E1,5512 Park Drive,No,Cariboo Regional District,Liquor Primary,Richard Donald Duncan,The Farrier (032116),,
56d7f19f-4573-eb11-b81b-005056832755,"December 2, 2024 10:41 PM (PST)",qfHkYcuI8xekIde7kUZ7It34KvBUSsMr67vhTB5MAZZFAbbWOcEIvc1HZEBYMyNpKCBCnR20b1PGquKSle22DA==,,,70 MILE HOUSE,V0K2K0,2424 Bonaparte Road,No,Thompson-Nicola Regional District,Liquor Primary,EDDY'S BAR & GRILL LIMITED,Eddy's Bar & Grill (159240),,
50c7f19f-4573-eb11-b81b-005056832755,"May 15, 2025 1:10 AM (PDT)",EX47FMRsnnX7YtZkSm9+/s6L4TJca6V69S/hBCEo3nbzvv+CHuOELIn4wWQxrv2/8sDVsbN9R2qcypiWEygQwA==,,,ABBOTSFORD,V2T5T6,3058 Gladwin Road,No,Abbotsford (City of),Liquor Primary,Trading Post Brewing Corporation,Abbotsford (308166),,
bd482c5c-fe30-ec11-b82e-005056838fcd,"February 28, 2025 8:07 PM (PST)",svcUUrPaSrsEOJIV8BeIU9xQZinvkE4srclJURqK5703poPkJHs3M70ALtcNLCxpcoxhsUHw7+Ahq11Qns3DNA==,,,ABBOTSFORD,V2S1X2,33738 Laurel Street,No,Abbotsford (City of),Liquor Primary,Artisans Ales Limited Partnership,Old Yale Brewing Craft Brewery & Kitchen,,
46cef19f-4573-eb11-b81b-005056832755,"May 28, 2025 10:18 PM (PDT)",ruFSqcnn9hR+1f1YokwXDM0OH4voeKWXZYANIO6cF45FltQteTfOF04+NGQzs1J/7qFO8m+yh6UkpuJs79bUNA==,,,ABBOTSFORD,V4X1T3,3010 Mt. Lehman Road,No,Abbotsford (City of),Liquor Primary,Northland Properties Corporation,Bar One (307775),,
40c7f19f-4573-eb11-b81b-005056832755,"January 27, 2025 11:20 PM (PST)",yKwxyJQ2ATfplYdsi9bKHZYYBWOog6IlOw3zESnXZzIkJ0lM5cdYHhg9iuP6QaHFbsd83B8yyCyPWdrfeBecsg==,,,ABBOTSFORD,V4X1M3,3122 Station Rd.,No,Abbotsford (City of),Liquor Primary,D T R Ventures Ltd.,Station House Bar & Grill (303798),,
40d3f19f-4573-eb11-b81b-005056832755,"June 1, 2025 3:15 AM (PDT)",GL9l9ASruKFn/LKJjkjDaqaAA0nJ0ZPQ6Y/R10eZrR7qgMaQBdgmfLLA180UGXAWhIQiLhmGPyxIJ4yhmhflAA==,,,ABBOTSFORD,V2T6H5,"Unit #13, #5 - 30440 Liberator Ave ",No,Abbotsford (City of),Liquor Primary,Air-A-Fare Food Services Inc.,Ravens Bistro and Bar (303168),,
1e7dd2c1-9673-eb11-b81b-005056832174,"May 8, 2025 7:30 PM (PDT)",+KyqJ4TuexOCS1uyXBsMVmB51NAuEAWJ1J9gVMhOetdJRvcUz2oj41woS1eGNCoglvMQNt7T5dPGYSytsVjSng==,,,ABBOTSFORD,V3G2K4,36036 South Parallel Rd,No,Abbotsford (City of),Liquor Primary,Meadowlands Golf & Country Club Holdings Ltd.,Fraserglen Golf Course & Training Centre  (210405),,
