"","algae..10.6.cells.ml.","rotifers..animals.ml."
"1",1.5,3
"2",0.83,5.42
"3",0.7,18.26
"4",0.38,17.86
"5",0.41,21.07
"6",0.39,17.46
"7",0.91,15.85
"8",0.3,36.12
"9",0.77,18.86
"10",0.42,31.3
"11",0.24,16.66
"12",0,0
"13",0.51,7.83
"14",0.62,23.08
"15",0.32,23.88
"16",0.67,18.66
"17",0.25,26.49
"18",0.38,8.23
"19",1.64,19.47
"20",0.69,23.48
"21",0.27,27.89
"22",1.23,19.06
"23",0.99,23.48
"24",0.18,29.7
"25",0.26,38.53
"26",0.94,11.64
"27",0.62,23.48
"28",1.21,20.87
"29",0.25,33.91
"30",0.36,14.65
"31",0.46,17.66
"32",0.62,11.84
"33",0.76,12.84
"34",0.56,22.27
"35",0.6,23.28
"36",1.21,28.9
"37",0.15,55.18
"38",0.13,24.88
"39",0.21,7.02
"40",0.97,8.83
"41",1.35,11.04
"42",0.71,26.49
"43",0.43,33.31
"44",0.35,21.47
"45",0.47,12.64
"46",0.77,12.24
"47",0.86,9.03
"48",1.02,52.37
"49",0.29,40.94
"50",0.65,33.71
"51",0.3,16.25
"52",0.22,12.84
"53",0.35,9.63
"54",1.51,12.64
"55",1.01,34.52
"56",0.28,41.94
"57",0.28,25.08
"58",0.75,23.08
"59",0.49,25.89
"60",0.36,33.91
"61",0.64,52.17
"62",0.16,52.37
"63",0.09,27.89
"64",0.56,5.42
"65",0.57,39.93
"66",0.61,39.53
"67",0.37,36.92
"68",0.44,21.07
"69",0.2,17.26
"70",0.42,17.46
"71",0.94,22.88
"72",0.33,41.74
"73",0.28,19.47
"74",0.51,18.46
"75",0.81,38.73
"76",0.19,39.73
"77",0.1,21.47
"78",0.32,13.24
"79",0.76,15.65
"80",0.58,26.09
"81",0.57,35.12
"82",0.4,47.76
"83",0.35,47.56
"84",0.29,43.14
"85",0.33,31.1
"86",0.31,30.3
"87",0.3,28.7
"88",0.3,23.08
"89",0.32,23.08
"90",0.38,20.67
"91",0.85,25.49
"92",0.25,41.54
"93",0.33,38.13
"94",0.35,12.84
"95",0.37,17.26
"96",1,20.07
"97",0.34,38.93
"98",0.22,21.47
"99",0.31,21.07
"100",0.28,16.86
"101",0.23,7.83
"102",0.33,6.02
"103",0.8,5.82
"104",0.78,23.28
"105",0.62,16.86
"106",0.28,34.72
"107",0.21,23.68
"108",0.23,15.25
"109",0.3,11.84
"110",0.51,14.25
"111",0.54,20.67
"112",0.44,30.5
"113",0.53,30.3
"114",0.24,25.89
"115",0.17,24.08
"116",0.25,10.03
"117",0.59,7.63
"118",0.82,26.49
"119",0.3,41.94
"120",0.25,35.92
"121",0.4,26.89
"122",0.24,23.28
"123",0.36,19.26
"124",1.51,25.69
"125",0.54,77.06
"126",0.19,57.19
"127",0.19,31.91
"128",0.4,15.25
